fips,name,state,zhvi
41047,Marion County,OR,447829
34035,Somerset County,NJ,672427
18057,Hamilton County,IN,470542
36087,Rockland County,NY,767885
47149,Rutherford County,TN,419031
37051,Cumberland County,NC,231978
51087,Henrico County,VA,403549
24027,Howard County,MD,639961
08013,Boulder County,CO,718716
12111,Saint Lucie County,FL,373341
42079,Luzerne County,PA,228833
45083,Spartanburg County,SC,278707
08123,Weld County,CO,495359
21067,Fayette County,KY,334562
31109,Lancaster County,NE,303767
37063,Durham County,NC,396360
12033,Escambia County,FL,282520
36001,Albany County,NY,376480
33015,Rockingham County,NH,636239
39093,Lorain County,OH,266024
42095,Northampton County,PA,376804
17111,McHenry County,IL,372372
48303,Lubbock County,TX,215597
29510,Saint Louis City,MO,183716
23005,Cumberland County,ME,570881
34015,Gloucester County,NJ,389938
29077,Greene County,MO,259052
36027,Dutchess County,NY,505712
13051,Chatham County,GA,338312
13063,Clayton County,GA,230375
26139,Ottawa County,MI,400203
02020,Anchorage Borough,AK,438094
40027,Cleveland County,OK,255911
45063,Lexington County,SC,274819
12073,Leon County,FL,296441
53067,Thurston County,WA,532113
26065,Ingham County,MI,229949
17201,Winnebago County,IL,213138
42043,Dauphin County,PA,281448
06079,San Luis Obispo County,CA,906846
05007,Benton County,AR,386195
06047,Merced County,CA,419758
45091,York County,SC,392403
12001,Alachua County,FL,306456
34001,Atlantic County,NJ,387254
53035,Kitsap County,WA,589268
06087,Santa Cruz County,CA,1158616
18141,Saint Joseph County,IN,234849
42049,Erie County,PA,226760
09011,New London County,CT,434962
24021,Frederick County,MD,505026
55009,Brown County,WI,361027
37021,Buncombe County,NC,453427
48479,Webb County,TX,218946
17119,Madison County,IL,200352
12109,Saint Johns County,FL,492832
27163,Washington County,MN,450135
22103,Saint Tammany Parish,LA,286509
06041,Marin County,CA,1495814
13057,Cherokee County,GA,475300
26077,Kalamazoo County,MI,281466
49057,Weber County,UT,462955
17163,Saint Clair County,IL,181995
24025,Harford County,MD,423476
48309,McLennan County,TX,263020
42041,Cumberland County,PA,350463
48245,Jefferson County,TX,177853
53077,Yakima County,WA,358246
29047,Clay County,MO,321806
51550,Chesapeake City,VA,429571
13117,Forsyth County,GA,614380
05143,Washington County,AR,355205
47187,Williamson County,TN,920938
22055,Lafayette Parish,LA,238289
22017,Caddo Parish,LA,151879
39165,Warren County,OH,412775
51710,Norfolk City,VA,315671
13151,Henry County,GA,321774
37179,Union County,NC,453704
51013,Arlington County,VA,816055
36091,Saratoga County,NY,474627
48209,Hays County,TX,372221
10005,Sussex County,DE,491790
04025,Yavapai County,AZ,502362
39085,Lake County,OH,252879
36065,Oneida County,NY,240539
48423,Smith County,TX,271322
48041,Brazos County,TX,315372
28049,Hinds County,MS,130448
01101,Montgomery County,AL,165606
39099,Mahoning County,OH,178426
19113,Linn County,IA,242747
25001,Barnstable County,MA,768158
16027,Canyon County,ID,420078
01003,Baldwin County,AL,376456
37071,Gaston County,NC,300787
29099,Jefferson County,MO,295839
51760,Richmond City,VA,373235
37129,New Hanover County,NC,451113
53073,Whatcom County,WA,621299
01125,Tuscaloosa County,AL,232592
45015,Berkeley County,SC,376003
41029,Jackson County,OR,441880
37025,Cabarrus County,NC,387094
01117,Shelby County,AL,363240
35013,Dona Ana County,NM,288904
06007,Butte County,CA,401873
06113,Yolo County,CA,620245
12019,Clay County,FL,337847
47125,Montgomery County,TN,322648
42069,Lackawanna County,PA,232896
36063,Niagara County,NY,258142
22019,Calcasieu Parish,LA,200373
04015,Mohave County,AZ,352358
39041,Delaware County,OH,519772
37101,Johnston County,NC,344484
23031,York County,ME,534482
12091,Okaloosa County,FL,356683
42125,Washington County,PA,242238
39025,Clermont County,OH,332425
28047,Harrison County,MS,228909
17019,Champaign County,IL,242111
18039,Elkhart County,IN,268131
13245,Richmond County,GA,195599
53005,Benton County,WA,452721
13215,Muscogee County,GA,187510
04027,Yuma County,AZ,279841
45007,Anderson County,SC,293217
39155,Trumbull County,OH,173886
13139,Hall County,GA,391520
37133,Onslow County,NC,293686
15001,Hawaii County,HI,577316
27137,Saint Louis County,MN,262678
36007,Broome County,NY,204090
55101,Racine County,WI,319384
17167,Sangamon County,IL,201554
41017,Deschutes County,OR,668265
46099,Minnehaha County,SD,330456
26093,Livingston County,MI,407859
47165,Sumner County,TN,446556
42019,Butler County,PA,317783
12053,Hernando County,FL,310262
06017,El Dorado County,CA,662307
26145,Saginaw County,MI,177213
55087,Outagamie County,WI,348184
31153,Sarpy County,NE,360294
48139,Ellis County,TX,375371
18157,Tippecanoe County,IN,301616
45013,Beaufort County,SC,555638
09005,Litchfield County,CT,430768
12015,Charlotte County,FL,299360
12113,Santa Rosa County,FL,353670
37097,Iredell County,NC,390270
28033,DeSoto County,MS,302646
51700,Newport News City,VA,295885
38017,Cass County,ND,341064
17143,Peoria County,IL,166664
29019,Boone County,MO,333020
54039,Kanawha County,WV,154657
06089,Shasta County,CA,377855
36111,Ulster County,NY,449947
39103,Medina County,OH,353044
12005,Bay County,FL,344902
10001,Kent County,DE,374640
06025,Imperial County,CA,385952
18163,Vanderburgh County,IN,204267
20177,Shawnee County,KS,208781
39089,Licking County,OH,345265
48251,Johnson County,TX,341149
49053,Washington County,UT,528886
26121,Muskegon County,MI,259414
19163,Scott County,IA,252770
18127,Porter County,IN,334922
01081,Lee County,AL,352521
24013,Carroll County,MD,498011
18063,Hendricks County,IN,347608
17113,McLean County,IL,262590
55139,Winnebago County,WI,307567
37147,Pitt County,NC,245420
48187,Guadalupe County,TX,299121
44003,Kent County,RI,448736
37001,Alamance County,NC,297220
55059,Kenosha County,WI,339334
20209,Wyandotte County,KS,213177
16055,Kootenai County,ID,605460
21117,Kenton County,KY,291225
42007,Beaver County,PA,209406
42089,Monroe County,PA,313041
45003,Aiken County,SC,246685
37057,Davidson County,NC,277140
08101,Pueblo County,CO,286965
50007,Chittenden County,VT,520280
39057,Greene County,OH,305685
48329,Midland County,TX,334709
13223,Paulding County,GA,346546
24017,Charles County,MD,451805
15009,Maui County,HI,994454
09007,Middlesex County,CT,467522
30111,Yellowstone County,MT,407038
55105,Rock County,WI,301239
39133,Portage County,OH,285685
25015,Hampshire County,MA,459000
48135,Ector County,TX,255564
13153,Houston County,GA,257745
45035,Dorchester County,SC,350084
36083,Rensselaer County,NY,332753
27109,Olmsted County,MN,356492
26075,Jackson County,MI,228996
22073,Ouachita Parish,LA,181685
26147,Saint Clair County,MI,264197
18081,Johnson County,IN,317858
37035,Catawba County,NC,296593
42027,Centre County,PA,357278
51510,Alexandria City,VA,682629
12061,Indian River County,FL,366117
12085,Martin County,FL,449539
47163,Sullivan County,TN,261681
27145,Stearns County,MN,315310
39045,Fairfield County,OH,367546
36093,Schenectady County,NY,317519
13021,Bibb County,GA,172704
06039,Madera County,CA,426495
48091,Comal County,TX,436988
28121,Rankin County,MS,270377
42055,Franklin County,PA,293169
34011,Cumberland County,NJ,279830
08077,Mesa County,CO,436447
13073,Columbia County,GA,334817
26021,Berrien County,MI,285496
51179,Stafford County,VA,544161
26115,Monroe County,MI,275028
24043,Washington County,MD,331982
35049,Santa Fe County,NM,562474
33013,Merrimack County,NH,498955
23019,Penobscot County,ME,286656
12017,Citrus County,FL,272870
06031,Kings County,CA,367819
19103,Johnson County,IA,314177
40017,Canadian County,OK,273977
09013,Tolland County,CT,415364
27139,Scott County,MN,448244
35043,Sandoval County,NM,377236
37135,Orange County,NC,508867
37159,Rowan County,NC,279739
34037,Sussex County,NJ,451801
13077,Coweta County,GA,394399
04005,Coconino County,AZ,628806
48367,Parker County,TX,445957
47189,Wilson County,TN,505397
17161,Rock Island County,IL,161018
37151,Randolph County,NC,255615
13097,Douglas County,GA,303434
42107,Schuylkill County,PA,167130
28059,Jackson County,MS,212681
42075,Lebanon County,PA,321500
48441,Taylor County,TX,227401
22063,Livingston Parish,LA,255485
18105,Monroe County,IN,317709
48257,Kaufman County,TX,298854
27171,Wright County,MN,400102
48381,Randall County,TX,263738
06055,Napa County,CA,882200
51177,Spotsylvania County,VA,461009
55073,Marathon County,WI,284539
45041,Florence County,SC,204380
