fips,name,income
05107,"Phillips County, Arkansas",40134
05109,"Pike County, Arkansas",49269
05111,"Poinsett County, Arkansas",46707
05113,"Polk County, Arkansas",49191
05115,"Pope County, Arkansas",57344
05117,"Prairie County, Arkansas",51646
05119,"Pulaski County, Arkansas",62873
05121,"Randolph County, Arkansas",50911
05123,"St. Francis County, Arkansas",42574
05125,"Saline County, Arkansas",79046
05127,"Scott County, Arkansas",43270
05129,"Searcy County, Arkansas",44426
05131,"Sebastian County, Arkansas",57790
05133,"Sevier County, Arkansas",53527
05135,"Sharp County, Arkansas",44637
05137,"Stone County, Arkansas",40943
05139,"Union County, Arkansas",55259
05141,"Van Buren County, Arkansas",50354
05143,"Washington County, Arkansas",70639
05145,"White County, Arkansas",55249
05147,"Woodruff County, Arkansas",48158
05149,"Yell County, Arkansas",55934
06001,"Alameda County, California",129367
06003,"Alpine County, California",105521
06005,"Amador County, California",88044
06007,"Butte County, California",67928
06009,"Calaveras County, California",78647
06011,"Colusa County, California",75672
06013,"Contra Costa County, California",127229
06015,"Del Norte County, California",67058
06017,"El Dorado County, California",108845
06019,"Fresno County, California",74201
06021,"Glenn County, California",67139
06023,"Humboldt County, California",61160
06025,"Imperial County, California",57681
06027,"Inyo County, California",73991
06029,"Kern County, California",70210
06031,"Kings County, California",70995
06033,"Lake County, California",60621
06035,"Lassen County, California",67403
06037,"Los Angeles County, California",90112
06039,"Madera County, California",76627
06041,"Marin County, California",149091
06043,"Mariposa County, California",68412
06045,"Mendocino County, California",68092
06047,"Merced County, California",65510
06049,"Modoc County, California",59455
06051,"Mono County, California",99415
06053,"Monterey County, California",97230
06055,"Napa County, California",111471
06057,"Nevada County, California",89882
06059,"Orange County, California",116289
06061,"Placer County, California",115998
06063,"Plumas County, California",66031
06065,"Riverside County, California",93074
06067,"Sacramento County, California",92175
06069,"San Benito County, California",114394
06071,"San Bernardino County, California",85478
06073,"San Diego County, California",106268
06075,"San Francisco County, California",140970
06077,"San Joaquin County, California",92179
06079,"San Luis Obispo County, California",97446
06081,"San Mateo County, California",158855
06083,"Santa Barbara County, California",98161
06085,"Santa Clara County, California",164281
06087,"Santa Cruz County, California",111093
06089,"Shasta County, California",72636
06091,"Sierra County, California",63355
06093,"Siskiyou County, California",59095
06095,"Solano County, California",100401
06097,"Sonoma County, California",104674
06099,"Stanislaus County, California",81468
06101,"Sutter County, California",79704
06103,"Tehama County, California",63784
06105,"Trinity County, California",53002
06107,"Tulare County, California",71300
06109,"Tuolumne County, California",77404
06111,"Ventura County, California",109797
06113,"Yolo County, California",91752
06115,"Yuba County, California",76373
08001,"Adams County, Colorado",94571
08003,"Alamosa County, Colorado",55397
08005,"Arapahoe County, Colorado",101087
08007,"Archuleta County, Colorado",83065
08009,"Baca County, Colorado",46215
08011,"Bent County, Colorado",50179
08013,"Boulder County, Colorado",103994
08014,"Broomfield County, Colorado",123874
08015,"Chaffee County, Colorado",84132
08017,"Cheyenne County, Colorado",70865
08019,"Clear Creek County, Colorado",94577
08021,"Conejos County, Colorado",50978
08023,"Costilla County, Colorado",36861
08025,"Crowley County, Colorado",48826
08027,"Custer County, Colorado",72674
08029,"Delta County, Colorado",57774
08031,"Denver County, Colorado",94718
08033,"Dolores County, Colorado",64907
08035,"Douglas County, Colorado",149594
08037,"Eagle County, Colorado",104096
08039,"Elbert County, Colorado",132685
08041,"El Paso County, Colorado",90363
08043,"Fremont County, Colorado",62664
08045,"Garfield County, Colorado",91131
08047,"Gilpin County, Colorado",95361
08049,"Grand County, Colorado",88612
08051,"Gunnison County, Colorado",84527
08053,"Hinsdale County, Colorado",75972
08055,"Huerfano County, Colorado",52526
08057,"Jackson County, Colorado",47667
08059,"Jefferson County, Colorado",110656
08061,"Kiowa County, Colorado",58618
08063,"Kit Carson County, Colorado",70259
08065,"Lake County, Colorado",96575
08067,"La Plata County, Colorado",86056
08069,"Larimer County, Colorado",93765
08071,"Las Animas County, Colorado",52074
08073,"Lincoln County, Colorado",62861
08075,"Logan County, Colorado",51829
08077,"Mesa County, Colorado",73658
08079,"Mineral County, Colorado",56250
08081,"Moffat County, Colorado",73849
08083,"Montezuma County, Colorado",65244
08085,"Montrose County, Colorado",72120
08087,"Morgan County, Colorado",73278
08089,"Otero County, Colorado",54037
08091,"Ouray County, Colorado",91020
08093,"Park County, Colorado",103670
08095,"Phillips County, Colorado",64674
08097,"Pitkin County, Colorado",102645
08099,"Prowers County, Colorado",53508
08101,"Pueblo County, Colorado",64010
08103,"Rio Blanco County, Colorado",65473
08105,"Rio Grande County, Colorado",64411
08107,"Routt County, Colorado",106489
08109,"Saguache County, Colorado",50082
08111,"San Juan County, Colorado",77824
08113,"San Miguel County, Colorado",79024
08115,"Sedgwick County, Colorado",52386
08117,"Summit County, Colorado",109773
08119,"Teller County, Colorado",85361
08121,"Washington County, Colorado",67167
08123,"Weld County, Colorado",97097
08125,"Yuma County, Colorado",60545
09110,"Capitol Planning Region, Connecticut",93394
09120,"Greater Bridgeport Planning Region, Connecticut",89667
09130,"Lower Connecticut River Valley Planning Region, Connecticut",104428
09140,"Naugatuck Valley Planning Region, Connecticut",86191
09150,"Northeastern Connecticut Planning Region, Connecticut",90589
09160,"Northwest Hills Planning Region, Connecticut",93551
09170,"South Central Connecticut Planning Region, Connecticut",88197
09180,"Southeastern Connecticut Planning Region, Connecticut",86586
09190,"Western Connecticut Planning Region, Connecticut",128188
10001,"Kent County, Delaware",74477
10003,"New Castle County, Delaware",91166
10005,"Sussex County, Delaware",81497
11001,"District of Columbia, District of Columbia",109870
12001,"Alachua County, Florida",61949
12003,"Baker County, Florida",79836
12005,"Bay County, Florida",73533
12007,"Bradford County, Florida",63050
12009,"Brevard County, Florida",78476
12011,"Broward County, Florida",77633
12013,"Calhoun County, Florida",50517
12015,"Charlotte County, Florida",69952
12017,"Citrus County, Florida",56546
12019,"Clay County, Florida",87820
12021,"Collier County, Florida",90045
12023,"Columbia County, Florida",59205
12027,"DeSoto County, Florida",54417
12029,"Dixie County, Florida",50110
12031,"Duval County, Florida",71277
12033,"Escambia County, Florida",67500
12035,"Flagler County, Florida",77363
12037,"Franklin County, Florida",64105
12039,"Gadsden County, Florida",48801
12041,"Gilchrist County, Florida",63523
12043,"Glades County, Florida",45870
