County,ST,State,GOP Share,Total Votes,Bachelor's+,Z-Score Index,Z Rank,Percentile Index,P Rank,RESI,RESI Rank,GOP Pctile,Vote Pctile,Edu Pctile,GOP z,Vote z,Edu z
Ottawa,MI,Michigan,59.46,178507,38.91,0.000000,672,0.262080,1012,11933.8,150,0.280,0.936,0.899,-0.4545,0.9270,1.3673
Presque Isle,MI,Michigan,63.69,8742,21.44,0.000000,673,0.140728,1848,971.2,1991,0.359,0.392,0.460,-0.1872,-0.2901,-0.3232
Roscommon,MI,Michigan,65.86,16068,20.22,0.000000,674,0.233044,1189,2210.2,1337,0.406,0.574,0.394,-0.0506,-0.2375,-0.4419
Saginaw,MI,Michigan,50.95,103846,24.40,0.000000,675,0.153387,1766,513.5,2333,0.171,0.897,0.590,-0.9911,0.3918,-0.0374
Schoolcraft,MI,Michigan,65.25,4898,21.09,0.000000,676,0.089832,2317,636.1,2227,0.394,0.228,0.441,-0.0889,-0.3176,-0.3572
Shiawassee,MI,Michigan,60.75,40685,20.00,0.000000,677,0.238205,1155,3230.1,997,0.305,0.781,0.381,-0.3726,-0.0611,-0.4633
St. Clair,MI,Michigan,66.59,96524,20.31,0.000000,678,0.378714,464,14203.6,105,0.426,0.889,0.397,-0.0043,0.3393,-0.4329
St. Joseph,MI,Michigan,66.21,29307,16.93,0.000000,679,0.300875,808,4163.6,781,0.415,0.725,0.223,-0.0286,-0.1426,-0.7604
Van Buren,MI,Michigan,56.85,41183,22.99,0.000000,680,0.185334,1508,1822.2,1496,0.237,0.782,0.533,-0.6192,-0.0575,-0.1732
Washtenaw,MI,Michigan,26.56,221542,58.71,0.000000,681,0.015168,2988,-56011.3,3109,0.016,0.948,0.990,-2.5300,1.2356,3.2844
Wayne,MI,Michigan,33.72,856690,27.58,0.000000,682,0.039840,2751,-122559.4,3135,0.040,0.996,0.699,-2.0784,5.7891,0.2709
Wexford,MI,Michigan,66.58,19476,21.31,0.000000,683,0.267954,978,2864.0,1096,0.426,0.629,0.452,-0.0048,-0.2131,-0.3363
Aitkin,MN,Minnesota,64.53,10446,20.26,0.000000,684,0.171158,1613,1264.3,1798,0.377,0.454,0.395,-0.1343,-0.2779,-0.4376
Anoka,MN,Minnesota,50.82,210481,32.18,0.000000,685,0.159874,1716,895.5,2039,0.169,0.946,0.803,-0.9992,1.1563,0.7162
Becker,MN,Minnesota,65.66,19739,27.98,0.000000,686,0.255099,1058,2665.8,1163,0.403,0.633,0.710,-0.0630,-0.2112,0.3097
Beltrami,MN,Minnesota,51.85,24874,31.83,0.000000,687,0.125216,1995,247.9,2534,0.182,0.688,0.796,-0.9342,-0.1744,0.6817
Big Stone,MN,Minnesota,63.60,2824,25.70,0.000000,688,0.044034,2717,310.6,2490,0.358,0.123,0.640,-0.1932,-0.3325,0.0889
Blue Earth,MN,Minnesota,49.40,36442,34.18,0.000000,689,0.116280,2072,-112.7,2706,0.152,0.765,0.836,-1.0892,-0.0915,0.9095
Brown,MN,Minnesota,66.39,14598,24.47,0.000000,690,0.229193,1215,2109.7,1384,0.419,0.547,0.594,-0.0169,-0.2481,-0.0307
Carlton,MN,Minnesota,50.13,20815,26.49,0.000000,691,0.104167,2177,13.8,2647,0.161,0.647,0.669,-1.0428,-0.2035,0.1654
Carver,MN,Minnesota,51.45,69160,50.44,0.000000,692,0.152150,1772,532.7,2312,0.179,0.850,0.970,-0.9594,0.1431,2.4838
Cass,MN,Minnesota,65.89,19363,25.96,0.000000,693,0.255816,1053,2672.5,1160,0.408,0.627,0.650,-0.0483,-0.2139,0.1135
Chippewa,MN,Minnesota,66.08,6318,19.26,0.000000,694,0.122067,2020,887.3,2049,0.411,0.297,0.340,-0.0365,-0.3074,-0.5345
Chisago,MN,Minnesota,64.74,35601,24.36,0.000000,695,0.289560,868,4397.5,742,0.381,0.760,0.588,-0.1213,-0.0975,-0.0407
Clay,MN,Minnesota,48.56,32874,39.27,0.000000,696,0.105790,2161,-249.7,2743,0.142,0.745,0.903,-1.1417,-0.1171,1.4025
Cook,MN,Minnesota,31.20,3660,46.65,0.000000,697,0.005445,3088,-651.3,2800,0.033,0.165,0.955,-2.2372,-0.3265,2.1165
Crow Wing,MN,Minnesota,64.73,42366,29.33,0.000000,698,0.299466,814,5228.9,599,0.381,0.786,0.741,-0.1218,-0.0490,0.4402
Dakota,MN,Minnesota,42.34,259805,45.04,0.000000,699,0.087178,2341,-13238.3,3020,0.091,0.958,0.945,-1.5346,1.5099,1.9612
Dodge,MN,Minnesota,64.84,12484,30.20,0.000000,700,0.194158,1445,1558.2,1623,0.386,0.503,0.761,-0.1146,-0.2632,0.5247
Douglas,MN,Minnesota,66.62,25106,29.72,0.000000,701,0.293940,845,3704.3,885,0.426,0.690,0.752,-0.0024,-0.1728,0.4777
Fillmore,MN,Minnesota,61.67,12385,24.09,0.000000,702,0.161500,1700,1099.6,1905,0.323,0.500,0.577,-0.3147,-0.2640,-0.0670
Freeborn,MN,Minnesota,59.88,16704,18.20,0.000000,703,0.168756,1632,1184.1,1846,0.287,0.588,0.280,-0.4275,-0.2330,-0.6372
Goodhue,MN,Minnesota,57.12,28817,27.94,0.000000,704,0.174243,1584,1339.5,1752,0.241,0.723,0.708,-0.6018,-0.1461,0.3053
Grant,MN,Minnesota,63.96,3543,21.02,0.000000,705,0.057512,2594,404.6,2425,0.364,0.158,0.438,-0.1705,-0.3273,-0.3639
Hennepin,MN,Minnesota,27.39,720173,54.14,0.000000,706,0.018848,2943,-171715.5,3141,0.019,0.992,0.981,-2.4778,4.8104,2.8413
Houston,MN,Minnesota,57.29,11428,30.10,0.000000,707,0.117126,2063,546.8,2303,0.243,0.482,0.759,-0.5912,-0.2708,0.5150
Hubbard,MN,Minnesota,64.69,13617,30.65,0.000000,708,0.201400,1400,1674.4,1574,0.380,0.530,0.770,-0.1242,-0.2551,0.5682
Itasca,MN,Minnesota,59.10,26840,25.90,0.000000,709,0.193992,1449,1706.7,1556,0.274,0.708,0.647,-0.4769,-0.1603,0.1080
Kandiyohi,MN,Minnesota,64.48,23283,27.92,0.000000,710,0.252296,1080,2804.8,1117,0.376,0.671,0.707,-0.1372,-0.1858,0.3031
Kittson,MN,Minnesota,61.40,2500,29.10,0.000000,711,0.034452,2803,214.9,2551,0.319,0.108,0.737,-0.3319,-0.3348,0.4173
Koochiching,MN,Minnesota,61.92,6789,21.98,0.000000,712,0.104280,2176,620.8,2239,0.330,0.316,0.486,-0.2988,-0.3041,-0.2710
Lac qui Parle,MN,Minnesota,65.07,3996,23.29,0.000000,713,0.071162,2458,509.7,2339,0.391,0.182,0.544,-0.1006,-0.3241,-0.1442
Lake,MN,Minnesota,46.95,6954,26.78,0.000000,714,0.040894,2742,-119.3,2711,0.127,0.322,0.677,-1.2435,-0.3029,0.1934
Le Sueur,MN,Minnesota,65.85,17469,26.33,0.000000,715,0.244215,1126,2400.8,1263,0.405,0.603,0.665,-0.0512,-0.2275,0.1498
Lyon,MN,Minnesota,64.67,12990,31.15,0.000000,716,0.194048,1447,1593.2,1609,0.379,0.512,0.780,-0.1259,-0.2596,0.6159
Mahnomen,MN,Minnesota,53.37,2183,16.16,0.000000,717,0.017820,2956,41.9,2627,0.198,0.090,0.181,-0.8387,-0.3371,-0.8349
Mower,MN,Minnesota,54.28,18969,23.92,0.000000,718,0.128132,1966,478.8,2365,0.206,0.622,0.568,-0.7809,-0.2168,-0.0840
Nicollet,MN,Minnesota,49.13,19417,36.06,0.000000,719,0.093572,2274,-87.2,2696,0.149,0.628,0.861,-1.1059,-0.2135,1.0919
Norman,MN,Minnesota,59.59,3294,22.83,0.000000,720,0.040608,2744,224.4,2545,0.282,0.144,0.526,-0.4459,-0.3291,-0.1889
Olmsted,MN,Minnesota,43.41,90924,49.40,0.000000,721,0.088300,2332,-3840.2,2940,0.100,0.883,0.966,-1.4671,0.2991,2.3828
Otter Tail,MN,Minnesota,66.08,36736,28.32,0.000000,722,0.315648,724,5159.9,606,0.411,0.768,0.717,-0.0364,-0.0894,0.3427
Pennington,MN,Minnesota,64.44,7381,20.99,0.000000,723,0.126786,1985,884.8,2053,0.374,0.339,0.437,-0.1403,-0.2998,-0.3669
Polk,MN,Minnesota,65.91,15419,27.99,0.000000,724,0.228480,1220,2130.5,1371,0.408,0.560,0.710,-0.0476,-0.2422,0.3103
Pope,MN,Minnesota,64.80,7218,23.89,0.000000,725,0.127488,1975,896.8,2037,0.384,0.332,0.567,-0.1176,-0.3010,-0.0863
Ramsey,MN,Minnesota,27.08,278025,45.65,0.000000,726,0.018278,2952,-67776.5,3114,0.019,0.962,0.948,-2.4974,1.6405,2.0196
Rice,MN,Minnesota,50.16,36412,30.17,0.000000,727,0.123930,2004,29.2,2638,0.162,0.765,0.760,-1.0411,-0.0917,0.5213
Scott,MN,Minnesota,53.07,90141,44.15,0.000000,728,0.171108,1614,1558.3,1622,0.194,0.882,0.941,-0.8575,0.2935,1.8746
Sherburne,MN,Minnesota,66.41,57960,29.67,0.000000,729,0.349430,586,8389.1,292,0.421,0.830,0.750,-0.0158,0.0628,0.4728
St. Louis,MN,Minnesota,42.07,119009,33.59,0.000000,730,0.080634,2389,-6336.0,2963,0.089,0.906,0.828,-1.5516,0.5005,0.8525
Stearns,MN,Minnesota,62.25,86632,28.79,0.000000,731,0.295212,837,8228.6,300,0.337,0.876,0.732,-0.2780,0.2683,0.3879
Steele,MN,Minnesota,61.05,20872,27.96,0.000000,732,0.201528,1399,1718.8,1549,0.311,0.648,0.709,-0.3541,-0.2031,0.3073
Stevens,MN,Minnesota,62.52,5139,31.15,0.000000,733,0.084035,2364,503.1,2347,0.343,0.245,0.781,-0.2611,-0.3159,0.6163
Swift,MN,Minnesota,66.09,5054,24.24,0.000000,734,0.098468,2236,710.1,2177,0.412,0.239,0.583,-0.0362,-0.3165,-0.0523
Traverse,MN,Minnesota,64.65,1802,16.59,0.000000,735,0.026530,2865,220.7,2547,0.379,0.070,0.203,-0.1268,-0.3398,-0.7936
Wabasha,MN,Minnesota,63.09,13509,26.53,0.000000,736,0.185152,1511,1407.9,1711,0.352,0.526,0.671,-0.2252,-0.2559,0.1694
Waseca,MN,Minnesota,65.18,10387,21.00,0.000000,737,0.176792,1572,1339.4,1753,0.392,0.451,0.437,-0.0935,-0.2783,-0.3666
Washington,MN,Minnesota,44.40,169536,49.07,0.000000,738,0.101806,2199,-5872.1,2961,0.109,0.934,0.965,-1.4046,0.8627,2.3506
Watonwan,MN,Minnesota,62.58,4933,17.20,0.000000,739,0.079464,2397,486.0,2360,0.344,0.231,0.238,-0.2575,-0.3174,-0.7344
Winona,MN,Minnesota,51.40,27797,32.72,0.000000,740,0.126378,1989,205.8,2558,0.177,0.714,0.812,-0.9627,-0.1535,0.7686
Wright,MN,Minnesota,63.54,90041,34.37,0.000000,741,0.314517,732,9843.1,223,0.357,0.881,0.840,-0.1969,0.2928,0.9283
Adair,MO,Missouri,66.13,10239,35.53,0.000000,742,0.185850,1504,1444.4,1690,0.413,0.450,0.857,-0.0335,-0.2793,1.0406
Boone,MO,Missouri,44.03,90110,51.54,0.000000,743,0.092505,2286,-3372.3,2933,0.105,0.881,0.974,-1.4280,0.2933,2.5896
Buchanan,MO,Missouri,63.25,35743,23.85,0.000000,744,0.267872,981,3787.6,869,0.352,0.761,0.566,-0.2154,-0.0965,-0.0901
Cass,MO,Missouri,65.36,59349,29.63,0.000000,745,0.331098,659,7790.5,335,0.397,0.834,0.748,-0.0819,0.0727,0.4691
Clay,MO,Missouri,52.00,130160,36.55,0.000000,746,0.167262,1645,1410.6,1709,0.183,0.914,0.870,-0.9247,0.5804,1.1385
Cole,MO,Missouri,66.46,40152,38.91,0.000000,747,0.328738,669,5839.6,516,0.422,0.779,0.899,-0.0125,-0.0649,1.3675
Greene,MO,Missouri,59.68,144037,33.59,0.000000,748,0.261564,1014,9927.0,220,0.284,0.921,0.828,-0.4406,0.6799,0.8529
Jackson,MO,Missouri,51.30,193729,31.55,0.000000,749,0.164675,1666,1326.7,1761,0.175,0.941,0.791,-0.9691,1.0362,0.6553
Kansas City,MO,Missouri,21.10,124288,37.03,0.000000,750,0.008190,3054,-44720.5,3097,0.009,0.910,0.878,-2.8745,0.5383,1.1850
Platte,MO,Missouri,50.82,57817,46.51,0.000000,751,0.140101,1855,244.0,2537,0.169,0.829,0.954,-0.9996,0.0618,2.1036
St. Charles,MO,Missouri,57.74,226166,42.73,0.000000,752,0.238450,1154,11672.0,157,0.251,0.950,0.933,-0.5628,1.2687,1.7375
St. Louis City,MO,Missouri,16.64,116271,41.14,0.000000,753,0.003620,3103,-53920.5,3107,0.004,0.905,0.920,-3.1563,0.4808,1.5835
St. Louis County,MO,Missouri,37.39,502738,47.42,0.000000,754,0.056145,2606,-49693.0,3102,0.057,0.985,0.958,-1.8467,3.2515,2.1911
Adams,MS,Mississippi,42.60,11928,20.56,0.000000,755,0.045756,2701,-581.9,2795,0.093,0.492,0.412,-1.5182,-0.2672,-0.4091
Amite,MS,Mississippi,65.80,6815,11.21,0.000000,756,0.128472,1960,932.1,2016,0.404,0.318,0.023,-0.0545,-0.3039,-1.3137
Attala,MS,Mississippi,61.31,7703,19.79,0.000000,757,0.110284,2120,655.3,2216,0.316,0.349,0.370,-0.3373,-0.2975,-0.4831
Benton,MS,Mississippi,65.34,3880,12.77,0.000000,758,0.069300,2484,508.0,2342,0.396,0.175,0.054,-0.0836,-0.3249,-1.1629
Bolivar,MS,Mississippi,37.79,10435,27.97,0.000000,759,0.026727,2864,-986.6,2830,0.059,0.453,0.709,-1.8218,-0.2779,0.3086
Chickasaw,MS,Mississippi,56.39,7234,12.02,0.000000,760,0.076590,2420,293.8,2500,0.230,0.333,0.037,-0.6482,-0.3009,-1.2351
Claiborne,MS,Mississippi,15.76,3541,18.14,0.000000,761,0.000474,3141,-1720.9,2872,0.003,0.158,0.276,-3.2116,-0.3274,-0.6432
Clay,MS,Mississippi,44.35,9057,17.30,0.000000,762,0.044145,2715,-316.8,2754,0.109,0.405,0.242,-1.4075,-0.2878,-0.7241
Coahoma,MS,Mississippi,29.57,6790,19.51,0.000000,763,0.008216,3052,-1375.9,2852,0.026,0.316,0.354,-2.3400,-0.3041,-0.5108
Copiah,MS,Mississippi,52.58,11665,19.67,0.000000,764,0.092043,2294,166.7,2578,0.189,0.487,0.363,-0.8881,-0.2691,-0.4945
Covington,MS,Mississippi,66.23,8861,17.40,0.000000,765,0.165549,1657,1262.1,1801,0.417,0.397,0.243,-0.0269,-0.2892,-0.7147
DeSoto,MS,Mississippi,60.78,79082,28.96,0.000000,766,0.263772,1005,6296.6,460,0.306,0.862,0.734,-0.3712,0.2142,0.4046
Forrest,MS,Mississippi,58.24,28466,30.57,0.000000,767,0.186018,1502,1591.6,1610,0.258,0.721,0.768,-0.5312,-0.1487,0.5602
Grenada,MS,Mississippi,57.86,9766,21.80,0.000000,768,0.108864,2131,514.3,2331,0.252,0.432,0.478,-0.5550,-0.2827,-0.2892
Harrison,MS,Mississippi,63.88,75923,27.46,0.000000,769,0.312180,747,8597.4,282,0.363,0.860,0.697,-0.1756,0.1916,0.2587
Hinds,MS,Mississippi,26.28,86830,31.17,0.000000,770,0.013155,3002,-22391.7,3056,0.015,0.877,0.781,-2.5479,0.2698,0.6183
Holmes,MS,Mississippi,18.47,6730,13.95,0.000000,771,0.001878,3127,-2821.1,2919,0.006,0.313,0.088,-3.0405,-0.3045,-1.0491
Humphreys,MS,Mississippi,28.55,3468,19.61,0.000000,772,0.003410,3105,-759.7,2815,0.022,0.155,0.359,-2.4047,-0.3279,-0.5004
Issaquena,MS,Mississippi,47.59,622,8.58,0.000000,773,0.001463,3132,-8.2,2657,0.133,0.011,0.004,-1.2033,-0.3483,-1.5683
Jasper,MS,Mississippi,52.19,7890,12.22,0.000000,774,0.065860,2512,94.3,2606,0.185,0.356,0.041,-0.9128,-0.2962,-1.2158
Jefferson,MS,Mississippi,16.40,3299,13.45,0.000000,775,0.000435,3142,-1549.5,2862,0.003,0.145,0.072,-3.1712,-0.3291,-1.0973
Jefferson Davis,MS,Mississippi,42.80,5378,12.67,0.000000,776,0.024225,2890,-253.2,2744,0.095,0.255,0.051,-1.5052,-0.3142,-1.1724
Kemper,MS,Mississippi,41.39,4086,18.59,0.000000,777,0.015604,2982,-241.9,2740,0.083,0.188,0.306,-1.5947,-0.3235,-0.5999
Lafayette,MS,Mississippi,60.02,23409,46.49,0.000000,778,0.195460,1434,1689.9,1563,0.290,0.674,0.953,-0.4190,-0.1849,2.1016
Lauderdale,MS,Mississippi,60.16,27407,23.57,0.000000,779,0.208616,1343,2014.6,1417,0.293,0.712,0.556,-0.4103,-0.1563,-0.1179
Leake,MS,Mississippi,61.37,8380,15.73,0.000000,780,0.120522,2032,717.9,2168,0.318,0.379,0.159,-0.3336,-0.2927,-0.8766
Leflore,MS,Mississippi,30.29,9421,21.16,0.000000,781,0.012180,3010,-1804.1,2876,0.029,0.420,0.445,-2.2945,-0.2852,-0.3509
Lowndes,MS,Mississippi,53.58,24426,28.10,0.000000,782,0.136116,1889,501.8,2350,0.199,0.684,0.713,-0.8254,-0.1776,0.3208
Madison,MS,Mississippi,58.04,55710,49.61,0.000000,783,0.210120,1334,3016.8,1053,0.255,0.824,0.967,-0.5440,0.0467,2.4033
Marshall,MS,Mississippi,53.24,14983,14.56,0.000000,784,0.108192,2140,275.2,2509,0.196,0.552,0.109,-0.8467,-0.2453,-0.9894
Montgomery,MS,Mississippi,60.08,4424,19.37,0.000000,785,0.060152,2575,322.0,2487,0.292,0.206,0.347,-0.4151,-0.3210,-0.5236
Noxubee,MS,Mississippi,25.87,4449,10.63,0.000000,786,0.003120,3110,-1179.8,2841,0.015,0.208,0.018,-2.5735,-0.3208,-1.3700
Oktibbeha,MS,Mississippi,49.31,18051,46.97,0.000000,787,0.092412,2287,-64.0,2684,0.151,0.612,0.956,-1.0947,-0.2233,2.1479
Panola,MS,Mississippi,56.87,14422,17.65,0.000000,788,0.129472,1945,641.1,2223,0.238,0.544,0.255,-0.6176,-0.2493,-0.6903
Pike,MS,Mississippi,51.29,15485,15.34,0.000000,789,0.098350,2237,105.5,2601,0.175,0.562,0.144,-0.9694,-0.2417,-0.9139
Quitman,MS,Mississippi,33.69,2677,17.11,0.000000,790,0.004563,3096,-383.8,2765,0.039,0.117,0.233,-2.0799,-0.3336,-0.7431
Scott,MS,Mississippi,61.65,9891,13.53,0.000000,791,0.141358,1842,876.1,2057,0.322,0.439,0.074,-0.3160,-0.2818,-1.0892
Sharkey,MS,Mississippi,31.20,1766,16.07,0.000000,792,0.002277,3120,-314.3,2753,0.033,0.069,0.176,-2.2373,-0.3401,-0.8436
Sunflower,MS,Mississippi,31.93,7876,16.03,0.000000,793,0.012425,3007,-1318.6,2847,0.035,0.355,0.173,-2.1911,-0.2963,-0.8475
Tallahatchie,MS,Mississippi,46.55,5012,11.70,0.000000,794,0.029388,2843,-98.9,2701,0.124,0.237,0.030,-1.2689,-0.3168,-1.2662
Tunica,MS,Mississippi,29.95,2668,13.72,0.000000,795,0.003132,3109,-525.1,2790,0.027,0.116,0.081,-2.3163,-0.3336,-1.0708
Walthall,MS,Mississippi,63.01,6529,12.94,0.000000,796,0.107406,2148,674.6,2196,0.351,0.306,0.059,-0.2302,-0.3059,-1.1461
Warren,MS,Mississippi,51.41,18298,28.76,0.000000,797,0.108855,2132,136.4,2589,0.177,0.615,0.730,-0.9622,-0.2216,0.3846
Washington,MS,Mississippi,31.97,14540,22.36,0.000000,798,0.019075,2938,-2425.8,2904,0.035,0.545,0.502,-2.1885,-0.2485,-0.2350
Wayne,MS,Mississippi,65.94,9119,15.99,0.000000,799,0.167281,1643,1264.0,1799,0.409,0.409,0.171,-0.0455,-0.2874,-0.8515
Wilkinson,MS,Mississippi,36.68,2931,8.83,0.000000,800,0.006784,3074,-313.2,2752,0.053,0.128,0.005,-1.8917,-0.3317,-1.5445
Winston,MS,Mississippi,58.71,8384,19.70,0.000000,801,0.100814,2208,503.2,2346,0.266,0.379,0.364,-0.5018,-0.2926,-0.4925
Yalobusha,MS,Mississippi,59.85,5878,15.57,0.000000,802,0.079499,2396,414.8,2416,0.287,0.277,0.153,-0.4296,-0.3106,-0.8919
Yazoo,MS,Mississippi,50.81,8971,15.30,0.000000,803,0.067368,2500,37.4,2633,0.168,0.401,0.141,-1.0002,-0.2884,-0.9176
Big Horn,MT,Montana,48.95,4470,17.82,0.000000,804,0.030660,2833,-24.5,2662,0.146,0.210,0.263,-1.1175,-0.3207,-0.6741
Blaine,MT,Montana,50.55,3019,23.90,0.000000,805,0.021780,2910,8.4,2648,0.165,0.132,0.568,-1.0167,-0.3311,-0.0851
Carbon,MT,Montana,64.67,7297,34.57,0.000000,806,0.128060,1968,895.4,2040,0.380,0.337,0.844,-0.1255,-0.3004,0.9475
Cascade,MT,Montana,59.65,37583,28.42,0.000000,807,0.218193,1270,2581.6,1201,0.283,0.771,0.720,-0.4422,-0.0833,0.3524
Chouteau,MT,Montana,64.25,2934,23.00,0.000000,808,0.047488,2678,345.1,2471,0.371,0.128,0.533,-0.1523,-0.3317,-0.1728
Deer Lodge,MT,Montana,47.82,4870,24.15,0.000000,809,0.030736,2832,-57.7,2680,0.136,0.226,0.579,-1.1885,-0.3178,-0.0616
Flathead,MT,Montana,65.55,63140,37.18,0.000000,810,0.337642,635,8439.6,291,0.401,0.842,0.880,-0.0699,0.0999,1.2003
Gallatin,MT,Montana,46.78,69897,54.28,0.000000,811,0.107352,2151,-1276.7,2846,0.126,0.852,0.982,-1.2546,0.1484,2.8549
Glacier,MT,Montana,38.18,5078,16.46,0.000000,812,0.015120,2989,-458.5,2775,0.063,0.240,0.194,-1.7966,-0.3163,-0.8057
Hill,MT,Montana,56.89,6804,24.40,0.000000,813,0.075763,2427,303.6,2496,0.239,0.317,0.591,-0.6162,-0.3040,-0.0369
Lake,MT,Montana,58.43,16910,31.51,0.000000,814,0.154773,1754,972.9,1989,0.261,0.593,0.790,-0.5194,-0.2315,0.6514
Lewis and Clark,MT,Montana,51.11,42023,43.04,0.000000,815,0.135632,1893,244.3,2535,0.173,0.784,0.935,-0.9809,-0.0515,1.7670
Missoula,MT,Montana,37.52,72773,47.42,0.000000,816,0.049590,2665,-7089.1,2976,0.058,0.855,0.957,-1.8384,0.1690,2.1909
Park,MT,Montana,52.30,11717,39.83,0.000000,817,0.090768,2309,147.4,2586,0.186,0.488,0.909,-0.9060,-0.2687,1.4565
Roosevelt,MT,Montana,52.50,3914,21.19,0.000000,818,0.033276,2813,54.0,2623,0.188,0.177,0.447,-0.8932,-0.3247,-0.3480
Silver Bow,MT,Montana,44.50,18226,27.99,0.000000,819,0.068154,2494,-618.0,2796,0.111,0.614,0.710,-1.3984,-0.2221,0.3103
Yellowstone,MT,Montana,62.00,81391,34.14,0.000000,820,0.288378,874,7506.2,356,0.333,0.866,0.835,-0.2942,0.2308,0.9061
Alamance,NC,North Carolina,53.36,89831,28.72,0.000000,821,0.173360,1594,1720.8,1548,0.197,0.880,0.729,-0.8389,0.2913,0.3805
Anson,NC,North Carolina,50.80,10875,9.91,0.000000,822,0.078456,2406,45.2,2625,0.168,0.467,0.012,-1.0004,-0.2748,-1.4399
Beaufort,NC,North Carolina,65.09,26572,21.24,0.000000,823,0.274873,936,3398.0,954,0.391,0.703,0.449,-0.0990,-0.1622,-0.3430
Bertie,NC,North Carolina,41.80,9186,18.99,0.000000,824,0.035346,2794,-510.1,2787,0.086,0.411,0.324,-1.5683,-0.2869,-0.5608
Bladen,NC,North Carolina,59.86,16764,19.47,0.000000,825,0.169617,1627,1184.6,1845,0.287,0.591,0.351,-0.4290,-0.2326,-0.5146
Brunswick,NC,North Carolina,61.86,109378,34.67,0.000000,826,0.294300,843,9924.6,221,0.327,0.900,0.846,-0.3030,0.4314,0.9567
Buncombe,NC,North Carolina,36.77,160510,45.91,0.000000,827,0.050220,2657,-16984.0,3041,0.054,0.930,0.951,-1.8860,0.7980,2.0450
Cabarrus,NC,North Carolina,53.03,120202,37.91,0.000000,828,0.175244,1579,2050.3,1408,0.193,0.908,0.887,-0.8598,0.5090,1.2711
Caswell,NC,North Carolina,61.84,12040,17.89,0.000000,829,0.161044,1707,1089.7,1911,0.326,0.494,0.267,-0.3044,-0.2664,-0.6673
Chatham,NC,North Carolina,43.03,52301,48.94,0.000000,830,0.079055,2400,-2364.8,2898,0.097,0.815,0.964,-1.4907,0.0222,2.3379
Chowan,NC,North Carolina,60.74,7552,25.00,0.000000,831,0.104576,2174,598.4,2254,0.304,0.344,0.616,-0.3736,-0.2986,0.0207
Columbus,NC,North Carolina,66.63,26402,14.60,0.000000,832,0.299327,815,3899.0,843,0.427,0.701,0.110,-0.0018,-0.1635,-0.9861
Craven,NC,North Carolina,59.60,56173,27.52,0.000000,833,0.232932,1190,3829.1,857,0.282,0.826,0.697,-0.4457,0.0500,0.2649
Cumberland,NC,North Carolina,42.59,140513,27.82,0.000000,834,0.085560,2356,-6867.1,2973,0.093,0.920,0.704,-1.5189,0.6546,0.2940
Dare,NC,North Carolina,58.71,25196,43.21,0.000000,835,0.184072,1519,1512.4,1645,0.266,0.692,0.936,-0.5017,-0.1721,1.7836
Duplin,NC,North Carolina,64.10,22898,17.63,0.000000,836,0.244488,1124,2652.4,1169,0.366,0.668,0.254,-0.1617,-0.1886,-0.6926
Durham,NC,North Carolina,18.16,180912,55.23,0.000000,837,0.005622,3085,-77163.2,3120,0.006,0.937,0.983,-3.0601,0.9443,2.9468
Edgecombe,NC,North Carolina,38.26,24448,17.51,0.000000,838,0.043092,2723,-2186.9,2891,0.063,0.684,0.247,-1.7916,-0.1775,-0.7039
Forsyth,NC,North Carolina,42.64,204726,38.48,0.000000,839,0.088736,2325,-9917.8,2997,0.094,0.944,0.894,-1.5156,1.1150,1.3258
Franklin,NC,North Carolina,56.10,42667,27.01,0.000000,840,0.177075,1568,1639.6,1590,0.225,0.787,0.683,-0.6660,-0.0469,0.2151
Gaston,NC,North Carolina,61.91,119256,26.49,0.000000,841,0.298074,823,10884.3,184,0.329,0.906,0.668,-0.2999,0.5022,0.1651
Gates,NC,North Carolina,60.29,5868,10.92,0.000000,842,0.081972,2377,439.1,2408,0.297,0.276,0.020,-0.4017,-0.3107,-1.3425
Granville,NC,North Carolina,54.15,32104,25.20,0.000000,843,0.151368,1778,780.4,2122,0.204,0.742,0.624,-0.7896,-0.1226,0.0398
Greene,NC,North Carolina,58.76,8450,12.19,0.000000,844,0.102261,2191,511.0,2337,0.267,0.383,0.040,-0.4986,-0.2922,-1.2194
Guilford,NC,North Carolina,38.27,285053,39.03,0.000000,845,0.061632,2557,-25496.2,3067,0.064,0.963,0.901,-1.7915,1.6909,1.3788
Halifax,NC,North Carolina,40.80,23965,16.13,0.000000,846,0.053641,2626,-1545.1,2861,0.079,0.679,0.179,-1.6315,-0.1809,-0.8381
Harnett,NC,North Carolina,61.86,63757,24.47,0.000000,847,0.276504,929,5787.0,523,0.328,0.843,0.593,-0.3029,0.1043,-0.0308
Haywood,NC,North Carolina,61.80,37851,29.53,0.000000,848,0.250900,1086,3412.8,952,0.325,0.772,0.745,-0.3065,-0.0814,0.4594
Henderson,NC,North Carolina,56.45,69974,36.51,0.000000,849,0.196812,1425,2873.8,1091,0.231,0.852,0.869,-0.6445,0.1489,1.1353
Hertford,NC,North Carolina,36.18,9843,16.58,0.000000,850,0.022236,2907,-1108.3,2837,0.051,0.436,0.202,-1.9232,-0.2822,-0.7940
Hoke,NC,North Carolina,46.33,22767,23.45,0.000000,851,0.080586,2390,-482.0,2780,0.121,0.666,0.552,-1.2830,-0.1895,-0.1287
