County,ST,State,GOP Share,Total Votes,Bachelor's+,Z-Score Index,Z Rank,Percentile Index,P Rank,RESI,RESI Rank,GOP Pctile,Vote Pctile,Edu Pctile,GOP z,Vote z,Edu z
Franklin,MO,Missouri,72.35,55464,23.69,0.016106,59,0.464172,220,12973.9,123,0.564,0.823,0.560,0.3588,0.0449,-0.1057
Bonneville,ID,Idaho,70.97,56436,33.11,0.014106,60,0.432824,291,11922.2,151,0.524,0.826,0.819,0.2720,0.0519,0.8057
Washington,WI,Wisconsin,67.40,91407,35.16,0.014039,61,0.388960,433,14444.4,103,0.440,0.884,0.853,0.0464,0.3026,1.0046
Fayette,PA,Pennsylvania,68.74,63472,19.09,0.013451,62,0.393681,414,11244.3,170,0.467,0.843,0.329,0.1315,0.1023,-0.5515
Washington,TN,Tennessee,69.08,61234,34.30,0.013159,63,0.398888,394,11148.6,172,0.476,0.838,0.839,0.1525,0.0863,0.9210
Jasper,MO,Missouri,72.64,53807,25.27,0.012451,64,0.467649,213,12853.3,127,0.571,0.819,0.627,0.3771,0.0330,0.0471
Onslow,NC,North Carolina,67.29,81681,26.00,0.009200,65,0.380613,457,12785.0,128,0.439,0.867,0.652,0.0395,0.2329,0.1175
Saline,AR,Arkansas,68.98,57609,29.35,0.008805,66,0.392946,418,10401.5,198,0.474,0.829,0.742,0.1461,0.0603,0.4423
Boone,KY,Kentucky,67.71,67421,35.71,0.008645,67,0.379056,461,10947.3,181,0.447,0.848,0.858,0.0662,0.1306,1.0575
Rowan,NC,North Carolina,67.39,75394,23.32,0.008634,68,0.377960,469,11907.1,152,0.440,0.859,0.546,0.0460,0.1878,-0.1421
Limestone,AL,Alabama,71.04,53332,30.19,0.008182,69,0.431086,300,11325.7,167,0.527,0.818,0.760,0.2763,0.0296,0.5238
Lapeer,MI,Michigan,69.26,55439,20.44,0.007340,70,0.396686,403,10245.3,206,0.482,0.823,0.404,0.1642,0.0447,-0.4205
Maury,TN,Tennessee,71.75,52090,28.00,0.006653,71,0.444444,261,11667.4,159,0.546,0.814,0.711,0.3213,0.0207,0.3109
Christian,MO,Missouri,75.57,50789,32.73,0.006393,72,0.532016,89,14828.7,100,0.656,0.811,0.813,0.5619,0.0114,0.7695
Bossier,LA,Louisiana,71.04,52232,28.41,0.006002,73,0.428164,312,11091.2,176,0.526,0.814,0.720,0.2763,0.0217,0.3508
Bedford,VA,Virginia,74.79,50830,33.69,0.005989,74,0.509124,125,14098.9,109,0.627,0.812,0.830,0.5131,0.0117,0.8618
Shasta,CA,California,66.97,88900,23.77,0.005622,75,0.380607,458,13536.0,117,0.433,0.879,0.562,0.0198,0.2846,-0.0986
Burleigh,ND,North Dakota,70.02,52263,39.12,0.004654,76,0.407000,372,10260.3,204,0.500,0.814,0.901,0.2121,0.0219,1.3873
Wayne,OH,Ohio,69.17,53150,25.10,0.004483,77,0.391343,424,9749.9,230,0.479,0.817,0.621,0.1584,0.0283,0.0303
Highlands,FL,Florida,70.09,51905,20.46,0.004198,78,0.408126,370,10248.2,205,0.502,0.813,0.406,0.2166,0.0194,-0.4186
Jackson,MS,Mississippi,69.41,52410,26.66,0.003986,79,0.394460,410,9799.3,227,0.484,0.815,0.673,0.1733,0.0230,0.1813
